time,SW_d,LW_d,T2m,TSKIN,QH,QL,RAIN,BDOT,ALBEDO
1980-01-01 00:00:00,58.047,166.398,256.863,253.921,2.451,0.077,0.000,0.000,0.728
1980-01-01 01:00:00,91.620,168.749,257.161,255.091,2.459,0.090,0.000,0.000,0.728
1980-01-01 02:00:00,143.044,169.168,257.472,255.571,2.491,0.145,0.000,0.000,0.728
1980-01-01 03:00:00,202.583,169.606,258.621,257.077,2.376,-0.086,0.000,0.000,0.728
1980-01-01 04:00:00,267.240,170.124,259.156,258.036,2.216,0.085,0.000,0.000,0.728
1980-01-01 05:00:00,340.665,166.014,259.621,258.462,2.036,0.184,0.000,0.000,0.728
1980-01-01 06:00:00,410.476,166.500,260.254,260.030,1.738,0.250,0.000,0.000,0.728
1980-01-01 07:00:00,467.213,167.988,260.878,261.057,1.448,0.028,0.000,0.000,0.728
1980-01-01 08:00:00,484.144,178.736,261.273,261.367,1.194,-0.070,0.000,0.000,0.728
1980-01-01 09:00:00,538.645,168.057,261.088,262.091,1.038,-0.055,0.000,0.000,0.728
1980-01-01 10:00:00,544.229,168.333,263.837,262.433,0.995,-0.697,0.000,0.000,0.728
1980-01-01 11:00:00,533.660,169.180,263.844,262.319,0.948,-0.527,0.000,0.000,0.728
1980-01-01 12:00:00,502.956,169.832,263.737,261.831,0.879,-0.182,0.000,0.000,0.728
1980-01-01 13:00:00,458.777,169.761,263.504,261.369,0.786,0.469,0.000,0.000,0.728
1980-01-01 14:00:00,394.171,184.025,263.518,259.823,0.573,0.495,0.000,0.000,0.728
1980-01-01 15:00:00,332.940,168.395,261.539,258.043,0.423,0.282,0.000,0.000,0.728
1980-01-01 16:00:00,265.854,167.891,261.244,257.108,0.910,0.759,0.000,0.000,0.728
1980-01-01 17:00:00,198.056,168.452,260.086,255.682,1.386,1.391,0.000,0.000,0.728
1980-01-01 18:00:00,134.921,168.940,257.967,254.591,1.834,1.878,0.000,0.000,0.728
1980-01-01 19:00:00,86.467,166.438,257.586,254.592,2.074,2.106,0.000,0.000,0.728
1980-01-01 20:00:00,53.192,167.338,257.368,253.901,2.264,1.994,0.000,0.000,0.728
1980-01-01 21:00:00,33.126,168.112,255.644,253.491,2.415,2.247,0.000,0.000,0.728
1980-01-01 22:00:00,26.916,176.419,256.665,253.515,2.392,1.307,0.000,0.000,0.728
1980-01-01 23:00:00,33.756,177.817,256.836,254.277,2.336,1.080,0.000,0.000,0.728
1980-01-02 00:00:00,53.683,171.756,256.718,254.677,2.326,0.866,0.000,0.000,0.728
1980-01-02 01:00:00,89.874,176.025,257.180,254.818,2.423,0.704,0.000,0.000,0.728
1980-01-02 02:00:00,140.396,164.104,257.080,255.304,2.523,0.565,0.000,0.000,0.728
1980-01-02 03:00:00,207.621,160.484,258.074,256.233,2.574,-0.316,0.000,0.000,0.728
1980-01-02 04:00:00,278.065,160.326,258.594,257.446,2.531,-0.267,0.000,0.000,0.728
