time,SW_d,LW_d,T2m,TSKIN,QH,QL,RAIN,BDOT,ALBEDO
2022-01-01 00:00:00,39.823,236.908,263.345,261.433,1.243,2.064,0.000,0.046,0.593
2022-01-01 01:00:00,67.897,238.841,263.659,261.787,1.346,1.970,0.000,0.035,0.593
2022-01-01 02:00:00,120.452,224.112,263.472,262.028,1.405,1.494,0.000,0.016,0.593
2022-01-01 03:00:00,194.116,203.877,263.270,261.452,1.626,0.911,0.000,0.005,0.593
2022-01-01 04:00:00,269.035,195.474,263.198,261.715,1.941,0.054,0.000,0.002,0.593
2022-01-01 05:00:00,364.090,178.963,263.385,262.421,2.148,-0.814,0.000,0.001,0.593
2022-01-01 06:00:00,432.521,180.588,263.718,263.260,2.290,-1.483,0.000,0.000,0.593
2022-01-01 07:00:00,483.311,192.233,264.175,263.955,2.338,-1.577,0.000,0.000,0.593
2022-01-01 08:00:00,531.072,193.956,265.171,264.647,2.380,-1.759,0.000,0.000,0.593
2022-01-01 09:00:00,548.136,203.695,265.165,265.485,2.297,-2.555,0.000,0.000,0.593
2022-01-01 10:00:00,536.840,218.543,266.132,266.472,1.916,-2.800,0.000,0.000,0.593
2022-01-01 11:00:00,500.483,231.211,266.496,266.941,1.777,-2.999,0.000,0.003,0.593
2022-01-01 12:00:00,429.101,245.938,266.743,266.761,1.684,-2.988,0.000,0.021,0.593
2022-01-01 13:00:00,346.606,251.196,266.712,266.459,1.503,-2.018,0.000,0.061,0.593
2022-01-01 14:00:00,289.318,254.088,267.299,266.365,1.247,-0.662,0.000,0.115,0.593
2022-01-01 15:00:00,209.207,257.957,266.982,265.558,1.251,0.138,0.000,0.190,0.593
2022-01-01 16:00:00,159.202,257.442,266.797,265.132,1.630,0.503,0.000,0.237,0.593
2022-01-01 17:00:00,114.234,258.112,266.496,264.679,1.935,1.151,0.000,0.241,0.593
2022-01-01 18:00:00,73.808,257.316,265.983,264.181,2.057,1.437,0.000,0.249,0.593
2022-01-01 19:00:00,44.706,260.150,265.944,263.914,2.103,1.681,0.000,0.298,0.593
2022-01-01 20:00:00,26.904,261.587,265.766,263.851,2.082,1.529,0.000,0.312,0.593
2022-01-01 21:00:00,17.053,261.634,265.705,263.748,2.062,1.618,0.000,0.331,0.593
2022-01-01 22:00:00,14.552,261.978,265.952,264.197,1.963,1.639,0.000,0.384,0.593
2022-01-01 23:00:00,16.729,265.121,265.892,264.345,1.735,1.807,0.000,0.408,0.593
2022-01-02 00:00:00,25.412,266.529,265.932,264.572,1.679,2.183,0.000,0.455,0.593
2022-01-02 01:00:00,40.285,267.362,265.998,264.990,1.807,2.719,0.000,0.469,0.593
2022-01-02 02:00:00,61.440,269.402,266.582,265.223,1.910,3.058,0.000,0.372,0.593
2022-01-02 03:00:00,86.613,269.009,266.866,265.671,1.854,2.836,0.000,0.267,0.593
2022-01-02 04:00:00,106.125,266.787,266.927,266.294,1.763,2.516,0.000,0.211,0.593
2022-01-02 05:00:00,179.422,273.005,267.967,267.200,1.643,2.155,0.000,0.162,0.593
2022-01-02 06:00:00,251.083,269.311,268.176,268.187,1.456,2.057,0.000,0.113,0.593
2022-01-02 07:00:00,269.979,276.712,268.537,268.319,1.252,1.562,0.000,0.128,0.593
2022-01-02 08:00:00,265.972,278.494,268.384,268.382,1.070,1.273,0.000,0.139,0.593
2022-01-02 09:00:00,276.861,276.578,268.864,269.013,0.879,0.975,0.000,0.128,0.593
2022-01-02 10:00:00,313.075,278.063,269.194,268.481,0.632,1.177,0.000,0.154,0.593
2022-01-02 11:00:00,298.628,279.767,269.009,268.869,0.571,1.111,0.000,0.207,0.593
2022-01-02 12:00:00,275.108,279.197,269.087,268.779,0.606,1.327,0.000,0.321,0.593
2022-01-02 13:00:00,222.680,280.496,269.185,268.642,1.143,2.607,0.000,0.494,0.593
2022-01-02 14:00:00,193.252,281.309,269.540,268.340,1.470,4.009,0.000,0.636,0.593
2022-01-02 15:00:00,145.657,281.688,269.372,268.134,1.500,4.390,0.000,0.818,0.593
2022-01-02 16:00:00,99.509,282.258,269.113,267.831,1.409,4.436,0.000,0.979,0.593
2022-01-02 17:00:00,72.222,281.724,269.018,267.425,1.198,4.059,0.000,0.976,0.593
2022-01-02 18:00:00,38.222,282.581,268.813,267.011,1.090,3.803,0.000,0.983,0.593
2022-01-02 19:00:00,35.582,281.726,268.588,266.765,1.138,4.105,0.000,0.899,0.593
2022-01-02 20:00:00,20.670,281.708,267.924,266.815,1.392,5.084,0.000,0.775,0.593
2022-01-02 21:00:00,8.166,281.844,267.985,266.820,1.544,5.539,0.000,0.725,0.593
2022-01-02 22:00:00,10.218,281.606,267.939,267.238,1.518,4.851,0.000,0.758,0.593
2022-01-02 23:00:00,14.207,281.381,267.899,267.173,1.399,4.542,0.000,0.814,0.593
2022-01-03 00:00:00,21.788,282.433,267.917,267.304,1.344,4.589,0.000,0.824,0.593
2022-01-03 01:00:00,33.360,283.004,268.006,267.590,1.331,4.765,0.000,0.747,0.593
2022-01-03 02:00:00,56.984,283.292,268.398,267.896,1.264,4.715,0.000,0.621,0.593
2022-01-03 03:00:00,76.737,282.861,268.408,268.282,1.258,4.758,0.000,0.519,0.593
2022-01-03 04:00:00,106.791,283.323,268.516,268.526,1.271,4.792,0.000,0.493,0.593
2022-01-03 05:00:00,125.155,284.604,268.441,268.700,1.223,4.538,0.000,0.479,0.593
2022-01-03 06:00:00,179.627,282.541,268.660,269.065,1.254,4.461,0.000,0.484,0.593
2022-01-03 07:00:00,219.911,286.484,269.152,269.223,1.207,4.089,0.000,0.476,0.593
2022-01-03 08:00:00,228.142,287.836,269.794,269.404,1.202,3.851,0.000,0.406,0.593
2022-01-03 09:00:00,294.190,288.455,269.878,269.616,1.241,4.386,0.000,0.321,0.593
2022-01-03 10:00:00,330.730,283.678,269.971,269.313,1.191,4.588,0.000,0.345,0.593
2022-01-03 11:00:00,343.767,286.636,270.148,269.413,0.919,3.659,0.000,0.433,0.593
2022-01-03 12:00:00,303.678,286.683,270.213,269.600,0.816,3.419,0.000,0.380,0.593
2022-01-03 13:00:00,311.705,284.176,270.356,269.655,0.873,3.439,0.000,0.195,0.593
2022-01-03 14:00:00,289.179,280.303,270.228,269.400,0.831,3.314,0.000,0.111,0.593
2022-01-03 15:00:00,233.810,279.871,270.621,269.820,0.860,3.391,0.000,0.075,0.593
2022-01-03 16:00:00,175.577,273.899,270.379,269.114,0.948,3.783,0.000,0.063,0.593
2022-01-03 17:00:00,133.581,268.821,270.023,269.053,1.075,4.175,0.000,0.069,0.593
2022-01-03 18:00:00,88.496,268.798,269.609,268.172,1.226,4.430,0.000,0.094,0.593
2022-01-03 19:00:00,51.098,270.170,269.888,267.829,1.278,4.242,0.000,0.100,0.593
2022-01-03 20:00:00,30.365,277.328,270.041,267.644,1.326,4.210,0.000,0.144,0.593
2022-01-03 21:00:00,18.150,274.368,269.624,267.747,1.318,4.739,0.000,0.170,0.593
2022-01-03 22:00:00,13.772,277.552,269.552,268.140,1.155,4.026,0.000,0.182,0.593
2022-01-03 23:00:00,17.243,279.826,270.011,268.086,1.207,4.789,0.000,0.204,0.593
2022-01-04 00:00:00,28.460,283.270,269.497,268.351,1.228,5.120,0.000,0.272,0.593
2022-01-04 01:00:00,41.490,283.103,269.310,268.710,1.224,5.360,0.000,0.389,0.593
2022-01-04 02:00:00,60.794,283.808,269.118,268.812,1.249,5.549,0.000,0.547,0.593
2022-01-04 03:00:00,94.848,286.176,268.975,269.033,1.269,5.561,0.000,0.640,0.593
2022-01-04 04:00:00,123.380,284.168,268.631,269.117,1.283,5.550,0.000,0.662,0.593
2022-01-04 05:00:00,166.117,283.522,268.458,269.311,1.296,5.415,0.000,0.641,0.593
2022-01-04 06:00:00,218.037,282.798,268.236,269.501,1.241,4.833,0.000,0.573,0.593
2022-01-04 07:00:00,252.630,281.605,268.114,269.425,1.056,3.896,0.000,0.534,0.593
2022-01-04 08:00:00,277.637,279.810,268.225,269.428,0.800,2.797,0.000,0.395,0.593
2022-01-04 09:00:00,368.895,277.724,268.268,269.818,0.650,2.178,0.000,0.261,0.593
2022-01-04 10:00:00,410.095,276.200,268.490,269.787,0.844,2.430,0.000,0.193,0.593
2022-01-04 11:00:00,413.311,271.875,268.584,269.815,0.771,2.052,0.000,0.175,0.593
2022-01-04 12:00:00,358.779,271.221,268.732,269.236,0.539,1.373,0.000,0.185,0.593
2022-01-04 13:00:00,308.458,274.731,268.778,269.481,0.506,1.322,0.000,0.202,0.593
2022-01-04 14:00:00,240.719,276.303,268.961,269.188,0.464,1.164,0.000,0.211,0.593
2022-01-04 15:00:00,196.814,275.274,268.991,269.321,0.465,1.201,0.000,0.206,0.593
2022-01-04 16:00:00,126.054,278.422,268.951,268.809,0.433,1.224,0.000,0.203,0.593
2022-01-04 17:00:00,106.114,274.770,268.934,268.483,0.530,1.652,0.000,0.198,0.593
2022-01-04 18:00:00,64.237,275.536,268.697,268.146,0.631,2.230,0.000,0.183,0.593
2022-01-04 19:00:00,45.642,268.698,268.446,267.750,0.649,2.376,0.000,0.107,0.593
2022-01-04 20:00:00,26.031,274.230,268.223,267.352,0.643,2.337,0.000,0.128,0.593
2022-01-04 21:00:00,15.429,269.305,268.119,267.464,0.603,2.262,0.000,0.139,0.593
2022-01-04 22:00:00,12.838,278.347,268.258,267.718,0.762,2.655,0.000,0.157,0.593
2022-01-04 23:00:00,16.186,277.629,268.360,267.746,0.736,2.551,0.000,0.191,0.593
2022-01-05 00:00:00,26.996,277.709,268.541,268.060,0.758,2.849,0.000,0.272,0.593
2022-01-05 01:00:00,42.695,278.870,268.770,268.290,0.924,3.556,0.000,0.350,0.593
2022-01-05 02:00:00,70.408,281.208,268.801,268.537,1.164,4.342,0.000,0.381,0.593
2022-01-05 03:00:00,82.700,281.078,268.424,268.629,1.414,5.450,0.000,0.403,0.593
2022-01-05 04:00:00,137.355,278.769,268.792,268.727,1.517,5.044,0.000,0.439,0.593
2022-01-05 05:00:00,183.489,275.740,268.579,268.785,1.373,4.251,0.000,0.448,0.593
2022-01-05 06:00:00,197.476,273.616,268.945,269.099,1.205,3.961,0.000,0.407,0.593
2022-01-05 07:00:00,316.017,268.587,268.761,269.332,0.988,3.546,0.000,0.363,0.593
2022-01-05 08:00:00,389.447,264.973,268.123,269.388,0.722,2.207,0.000,0.257,0.593
2022-01-05 09:00:00,416.074,260.374,268.040,269.842,0.553,1.527,0.000,0.228,0.593
2022-01-05 10:00:00,436.703,259.653,267.860,269.746,0.805,1.755,0.000,0.167,0.593
2022-01-05 11:00:00,431.498,262.026,268.508,269.487,0.846,1.689,0.000,0.132,0.593
2022-01-05 12:00:00,391.652,261.719,268.546,269.450,0.744,1.466,0.000,0.128,0.593
2022-01-05 13:00:00,343.609,264.865,268.569,269.547,0.549,1.112,0.000,0.131,0.593
2022-01-05 14:00:00,290.904,265.006,268.548,269.362,0.412,0.886,0.000,0.151,0.593
2022-01-05 15:00:00,233.542,266.669,268.327,268.769,0.488,1.155,0.000,0.186,0.593
2022-01-05 16:00:00,176.090,263.640,267.913,268.346,0.644,1.668,0.000,0.196,0.593
2022-01-05 17:00:00,125.333,260.054,267.019,267.573,0.479,1.358,0.000,0.196,0.593
2022-01-05 18:00:00,84.354,264.043,266.623,266.987,0.622,1.880,0.000,0.182,0.593
2022-01-05 19:00:00,56.275,254.499,266.606,266.426,0.650,1.994,0.000,0.128,0.593
2022-01-05 20:00:00,31.159,258.523,266.038,265.784,0.667,2.018,0.000,0.159,0.593
2022-01-05 21:00:00,19.934,254.288,265.951,265.864,0.671,2.105,0.000,0.177,0.593
2022-01-05 22:00:00,15.704,257.835,265.449,265.885,0.707,1.949,0.000,0.165,0.593
2022-01-05 23:00:00,19.908,254.857,265.402,265.705,0.833,2.286,0.000,0.134,0.593
2022-01-06 00:00:00,30.644,260.438,265.780,265.912,0.848,2.345,0.000,0.092,0.593
2022-01-06 01:00:00,56.442,252.199,265.765,265.799,0.850,2.274,0.000,0.057,0.593
2022-01-06 02:00:00,92.699,253.610,265.824,266.247,0.907,2.391,0.000,0.053,0.593
2022-01-06 03:00:00,137.026,255.449,265.963,266.777,1.063,2.749,0.000,0.078,0.593
2022-01-06 04:00:00,187.811,249.326,266.097,267.311,1.237,3.178,0.000,0.097,0.593
2022-01-06 05:00:00,243.829,253.239,266.138,267.728,1.267,3.156,0.000,0.094,0.593
2022-01-06 06:00:00,299.010,250.320,266.416,268.165,1.267,3.061,0.000,0.091,0.593
2022-01-06 07:00:00,379.888,253.748,266.551,268.412,1.181,2.519,0.000,0.095,0.593
2022-01-06 08:00:00,418.316,256.253,266.894,268.772,1.114,2.253,0.000,0.077,0.593
2022-01-06 09:00:00,468.155,247.877,266.971,269.295,1.033,1.996,0.000,0.037,0.593
2022-01-06 10:00:00,483.868,248.587,267.276,269.058,0.864,0.875,0.000,0.017,0.593
2022-01-06 11:00:00,480.769,236.822,267.512,269.060,0.931,0.871,0.000,0.019,0.593
2022-01-06 12:00:00,467.432,232.001,267.514,268.963,0.978,0.960,0.000,0.018,0.593
2022-01-06 13:00:00,445.169,221.272,267.515,268.308,1.091,1.112,0.000,0.005,0.593
2022-01-06 14:00:00,395.290,209.029,267.604,266.965,1.112,1.189,0.000,0.000,0.593
2022-01-06 15:00:00,334.821,202.766,267.177,265.712,1.189,2.065,0.000,0.000,0.593
2022-01-06 16:00:00,264.294,203.551,266.351,264.316,1.271,2.116,0.000,0.000,0.593
2022-01-06 17:00:00,178.639,208.034,265.850,263.644,1.351,1.882,0.000,0.000,0.593
2022-01-06 18:00:00,102.555,223.634,265.347,263.476,1.441,1.877,0.000,0.001,0.593
2022-01-06 19:00:00,62.786,227.118,265.355,262.965,1.562,2.047,0.000,0.001,0.593
2022-01-06 20:00:00,35.930,227.437,264.744,263.302,1.645,2.073,0.000,0.003,0.593
2022-01-06 21:00:00,20.511,237.362,264.791,263.161,1.766,1.892,0.000,0.006,0.593
2022-01-06 22:00:00,16.802,233.401,264.984,263.565,1.915,1.724,0.000,0.009,0.593
2022-01-06 23:00:00,20.290,236.017,265.236,263.763,2.036,1.843,0.000,0.012,0.593
2022-01-07 00:00:00,34.270,234.077,265.593,264.106,2.078,1.715,0.000,0.016,0.593
2022-01-07 01:00:00,56.496,237.540,265.707,264.735,2.052,1.407,0.000,0.022,0.593
2022-01-07 02:00:00,90.565,240.560,266.722,265.145,2.036,1.100,0.000,0.030,0.593
2022-01-07 03:00:00,137.747,245.436,267.086,265.734,2.006,0.894,0.000,0.037,0.593
2022-01-07 04:00:00,192.077,248.195,267.455,266.612,1.964,0.823,0.000,0.036,0.593
2022-01-07 05:00:00,259.209,246.284,268.643,267.383,1.875,-0.265,0.000,0.021,0.593
