time,SW_d,LW_d,T2m,TSKIN,QH,QL,RAIN,BDOT,ALBEDO
2022-01-01 00:00:00,47.556,226.379,261.21,259.86,10.51,18.82,0,0.061,0.748
2022-01-01 01:00:00,77.393,228.235,261.387,260.216,11.803,18.284,0,0.039,0.748
2022-01-01 02:00:00,132.771,217.107,261.239,260.162,13.043,14.798,0,0.011,0.748
2022-01-01 03:00:00,223.48,194.407,260.998,259.51,16.509,10.973,0,0.002,0.748
2022-01-01 04:00:00,309.558,182.932,260.745,259.499,20.408,6.128,0,0,0.748
2022-01-01 05:00:00,413.756,167.676,260.887,260.078,24.089,0.694,0,0,0.748
2022-01-01 06:00:00,491.653,167.63,261.224,260.846,24.867,-3.202,0,0,0.748
2022-01-01 07:00:00,550.223,176.588,261.739,261.516,25.458,-3.181,0,0,0.748
2022-01-01 08:00:00,603.238,178.581,262.788,262.284,25.991,-5.261,0,0,0.748
2022-01-01 09:00:00,626.291,187.49,262.754,263.066,26.317,-12.571,0,0,0.748
2022-01-01 10:00:00,617.85,201.057,263.663,264.02,22.733,-14.327,0,0,0.748
2022-01-01 11:00:00,580.662,211.542,264.13,264.589,21.145,-16.494,0,0.001,0.748
2022-01-01 12:00:00,507.644,231.381,264.559,264.562,20.223,-20.727,0,0.011,0.748
2022-01-01 13:00:00,406.62,241.988,264.65,264.472,19.127,-13.927,0,0.043,0.748
2022-01-01 14:00:00,337.966,245.828,265.391,264.296,17.553,-6.733,0,0.094,0.748
2022-01-01 15:00:00,247.047,250.345,265.162,263.763,17.412,-1.183,0,0.18,0.748
2022-01-01 16:00:00,186.436,250.436,265.026,263.34,20.572,1.577,0,0.248,0.748
2022-01-01 17:00:00,130.907,251.458,264.736,262.838,24.655,7.582,0,0.262,0.748
2022-01-01 18:00:00,85.642,250.939,264.212,262.384,26.234,10.916,0,0.27,0.748
2022-01-01 19:00:00,53.988,253.205,264.157,262.169,26.653,13.502,0,0.317,0.748
2022-01-01 20:00:00,32.015,254.685,263.94,262.081,26.392,12.329,0,0.335,0.748
