time,SW_d,LW_d,T2m,TSKIN,QH,QL,RAIN,BDOT,ALBEDO
2022-01-01 00:00:00,38.629,231.010,261.966,260.538,1.384,2.207,0.000,0.051,0.728
2022-01-01 01:00:00,63.426,232.820,262.163,260.875,1.513,2.060,0.000,0.034,0.728
2022-01-01 02:00:00,109.673,220.858,262.007,260.905,1.606,1.526,0.000,0.010,0.728
2022-01-01 03:00:00,183.742,198.002,261.765,260.197,1.907,0.897,0.000,0.002,0.728
2022-01-01 04:00:00,254.748,186.731,261.528,260.240,2.267,0.179,0.000,0.000,0.728
2022-01-01 05:00:00,341.570,170.974,261.669,260.839,2.584,-0.575,0.000,0.000,0.728
2022-01-01 06:00:00,406.016,171.062,261.995,261.622,2.666,-1.055,0.000,0.000,0.728
2022-01-01 07:00:00,454.089,180.716,262.495,262.293,2.722,-1.086,0.000,0.000,0.728
2022-01-01 08:00:00,498.253,182.661,263.541,263.049,2.773,-1.369,0.000,0.000,0.728
2022-01-01 09:00:00,516.682,191.935,263.521,263.840,2.790,-2.191,0.000,0.000,0.728
2022-01-01 10:00:00,508.943,206.060,264.446,264.806,2.442,-2.353,0.000,0.000,0.728
2022-01-01 11:00:00,477.289,217.184,264.904,265.369,2.291,-2.590,0.000,0.001,0.728
2022-01-01 12:00:00,415.625,236.382,265.303,265.319,2.196,-3.010,0.000,0.010,0.728
2022-01-01 13:00:00,333.483,245.560,265.369,265.172,2.067,-2.133,0.000,0.038,0.728
2022-01-01 14:00:00,277.786,249.216,266.086,265.029,1.899,-1.221,0.000,0.081,0.728
2022-01-01 15:00:00,202.681,253.669,265.856,264.461,1.878,-0.526,0.000,0.152,0.728
2022-01-01 16:00:00,153.074,253.622,265.712,264.039,2.201,-0.262,0.000,0.206,0.728
2022-01-01 17:00:00,107.973,254.615,265.423,263.541,2.581,0.299,0.000,0.216,0.728
2022-01-01 18:00:00,70.462,253.918,264.898,263.080,2.727,0.628,0.000,0.222,0.728
2022-01-01 19:00:00,44.141,256.318,264.843,262.852,2.768,0.884,0.000,0.262,0.728
2022-01-01 20:00:00,26.267,257.817,264.625,262.764,2.742,0.766,0.000,0.275,0.728
2022-01-01 21:00:00,17.055,257.157,264.570,262.668,2.709,0.950,0.000,0.287,0.728
2022-01-01 22:00:00,14.962,257.759,264.896,263.129,2.654,0.922,0.000,0.333,0.728
2022-01-01 23:00:00,17.242,261.382,264.873,263.361,2.357,1.408,0.000,0.375,0.728
2022-01-02 00:00:00,25.455,263.041,264.950,263.614,2.152,1.917,0.000,0.410,0.728
2022-01-02 01:00:00,40.170,264.639,265.015,263.996,2.193,2.552,0.000,0.441,0.728
2022-01-02 02:00:00,59.405,266.229,265.552,264.287,2.317,3.026,0.000,0.386,0.728
2022-01-02 03:00:00,87.882,266.488,265.893,264.815,2.321,2.948,0.000,0.283,0.728
2022-01-02 04:00:00,94.532,265.410,265.952,265.389,2.225,2.608,0.000,0.223,0.728
2022-01-02 05:00:00,177.976,270.657,267.081,266.321,2.110,2.262,0.000,0.176,0.728
2022-01-02 06:00:00,225.383,266.265,267.462,267.173,1.907,1.965,0.000,0.124,0.728
2022-01-02 07:00:00,260.846,274.104,268.016,267.548,1.641,1.465,0.000,0.124,0.728
2022-01-02 08:00:00,261.434,275.207,267.837,267.655,1.415,1.279,0.000,0.122,0.728
2022-01-02 09:00:00,270.521,273.952,268.484,268.604,1.195,0.888,0.000,0.123,0.728
2022-01-02 10:00:00,286.905,276.594,268.872,268.493,1.183,1.921,0.000,0.172,0.728
2022-01-02 11:00:00,281.822,278.386,268.675,268.248,1.094,1.840,0.000,0.226,0.728
2022-01-02 12:00:00,251.631,277.907,268.637,268.158,0.864,1.846,0.000,0.320,0.728
2022-01-02 13:00:00,208.073,279.272,268.660,267.907,1.100,2.509,0.000,0.494,0.728
2022-01-02 14:00:00,179.227,279.683,268.772,267.463,1.532,4.146,0.000,0.637,0.728
2022-01-02 15:00:00,136.126,279.367,268.596,267.262,1.695,4.796,0.000,0.818,0.728
2022-01-02 16:00:00,93.615,280.078,268.338,267.039,1.754,5.266,0.000,0.963,0.728
2022-01-02 17:00:00,67.842,279.976,268.303,266.740,1.625,5.275,0.000,0.959,0.728
2022-01-02 18:00:00,34.765,281.255,268.010,266.332,1.454,4.885,0.000,0.946,0.728
2022-01-02 19:00:00,32.775,280.258,267.835,265.994,1.265,4.355,0.000,0.875,0.728
2022-01-02 20:00:00,19.512,279.826,267.116,265.940,1.425,4.996,0.000,0.775,0.728
2022-01-02 21:00:00,6.886,279.901,267.154,265.979,1.653,5.715,0.000,0.695,0.728
2022-01-02 22:00:00,10.289,279.335,267.061,266.332,1.744,5.381,0.000,0.680,0.728
2022-01-02 23:00:00,14.252,278.681,267.080,266.356,1.664,5.153,0.000,0.725,0.728
2022-01-03 00:00:00,21.865,280.014,267.128,266.492,1.605,5.229,0.000,0.768,0.728
2022-01-03 01:00:00,33.493,280.572,267.200,266.774,1.608,5.608,0.000,0.689,0.728
2022-01-03 02:00:00,56.190,280.738,267.573,267.104,1.528,5.580,0.000,0.571,0.728
2022-01-03 03:00:00,78.876,279.943,267.569,267.514,1.502,5.575,0.000,0.481,0.728
2022-01-03 04:00:00,104.614,280.682,267.656,267.731,1.511,5.606,0.000,0.460,0.728
2022-01-03 05:00:00,122.042,282.453,267.776,268.428,1.496,5.464,0.000,0.462,0.728
2022-01-03 06:00:00,181.877,279.836,268.090,268.861,1.569,5.346,0.000,0.462,0.728
2022-01-03 07:00:00,212.922,284.256,268.579,268.832,1.503,4.808,0.000,0.468,0.728
2022-01-03 08:00:00,216.964,285.613,269.083,269.298,1.440,4.332,0.000,0.428,0.728
2022-01-03 09:00:00,281.718,285.787,269.272,269.555,1.400,4.628,0.000,0.330,0.728
2022-01-03 10:00:00,303.803,281.859,269.511,269.007,1.400,5.477,0.000,0.301,0.728
2022-01-03 11:00:00,313.012,284.662,269.717,269.185,1.199,4.860,0.000,0.366,0.728
2022-01-03 12:00:00,282.494,285.028,269.719,269.450,0.952,4.059,0.000,0.391,0.728
2022-01-03 13:00:00,277.863,282.250,269.756,269.493,0.874,3.733,0.000,0.252,0.728
