time,SW_d,LW_d,T2m,TSKIN,QH,QL,RAIN,BDOT,ALBEDO,rho_new,rho_redeposit,WindSpeed,Pressure,RH,Ts_surface,Melt_rate,G,estimated_albedo,Tsub_est,Lnet,Snet,QM,Sublimation,U10,V10,BDOT_new
2016-01-01 00:00:00,46.547,162.541,263.451,246.812,160.428,20.789,0.000,0.000,0.800,30.000,414.215,11.376,83435.543,66.603,256.299,0.000,8.984,0.835,266.699,-79.204,7.678,0.000,0.000,-9.971,-1.987,0.000
2016-01-01 01:00:00,127.531,161.105,262.543,247.228,142.439,-14.978,0.000,0.000,0.800,30.000,413.117,11.297,83497.255,52.732,256.322,0.000,8.526,0.835,266.245,-80.726,21.046,0.000,0.007,-9.892,-2.043,0.000
2016-01-01 02:00:00,225.273,157.223,261.143,247.834,114.353,-18.471,0.000,0.000,0.800,30.000,409.885,11.066,83553.815,54.977,256.048,0.000,8.035,0.836,265.545,-83.577,37.001,0.000,0.009,-9.692,-2.064,0.000
2016-01-01 03:00:00,327.531,156.323,260.743,248.558,89.734,-12.944,0.000,0.000,0.800,30.000,405.596,10.768,83592.616,63.077,256.623,0.000,7.235,0.834,265.345,-86.646,54.345,0.000,0.006,-9.458,-1.974,0.000
2016-01-01 04:00:00,439.012,158.760,261.543,249.367,70.493,-27.847,0.000,0.000,0.800,30.000,403.004,10.591,83615.131,59.291,258.228,0.000,6.164,0.828,265.745,-90.345,75.361,0.000,0.014,-9.308,-1.977,0.000
2016-01-01 05:00:00,551.413,157.223,261.543,250.229,49.315,-30.826,0.000,0.000,0.800,30.000,399.825,10.379,83671.511,60.264,259.165,0.000,5.321,0.824,265.745,-95.516,96.976,0.000,0.017,-9.111,-2.049,0.000
2016-01-01 06:00:00,655.871,158.496,262.143,251.019,31.875,-29.714,0.000,0.000,0.800,30.000,395.192,10.076,83697.877,58.969,260.549,0.000,4.357,0.816,266.045,-99.686,120.354,0.000,0.023,-8.823,-2.181,0.000
2016-01-01 07:00:00,745.192,158.872,262.343,251.735,14.089,-27.901,0.000,0.000,0.800,30.000,386.342,9.523,83755.970,62.961,261.593,0.000,3.478,0.809,266.145,-103.474,142.021,0.000,0.024,-8.352,-2.168,0.000
2016-01-01 08:00:00,812.269,158.689,263.243,252.310,6.395,-25.994,0.000,0.000,0.800,30.000,376.226,8.928,83787.691,63.182,262.878,0.000,2.724,0.799,266.595,-108.847,163.365,0.000,0.026,-7.872,-2.053,0.000
2016-01-01 09:00:00,852.133,160.659,264.143,252.699,1.951,-24.291,0.000,0.000,0.800,30.000,366.471,8.390,83823.862,59.020,264.024,0.000,2.126,0.788,267.045,-111.574,181.046,0.000,0.031,-7.386,-2.135,0.000
2016-01-01 10:00:00,861.866,161.390,264.943,253.007,4.986,-23.896,0.000,0.000,0.800,30.000,364.061,8.262,83852.377,53.842,264.633,0.000,1.958,0.781,267.445,-113.366,189.020,0.000,0.035,-7.248,-2.226,0.000
2016-01-01 11:00:00,840.679,162.642,265.543,253.010,6.737,-21.683,0.000,0.000,0.800,30.000,348.810,7.496,83879.197,48.701,265.082,0.000,1.733,0.775,267.744,-113.983,188.936,0.000,0.036,-6.519,-2.398,0.000
2016-01-01 12:00:00,790.065,165.012,266.543,252.751,13.810,-19.430,0.000,0.000,0.800,30.000,330.747,6.680,83900.276,49.776,265.489,0.000,1.643,0.770,268.244,-113.315,181.680,0.000,0.031,-5.846,-2.264,0.000
2016-01-01 13:00:00,713.588,163.875,265.943,252.191,19.104,-18.270,0.000,0.000,0.800,30.000,319.336,6.211,83933.452,49.601,264.393,0.000,1.996,0.783,267.944,-109.885,154.525,0.000,0.025,-5.536,-1.984,0.000
2016-01-01 14:00:00,617.163,164.481,266.143,251.337,31.779,-17.387,0.000,0.000,0.800,30.000,308.711,5.804,83974.821,52.908,263.436,0.000,2.446,0.794,268.044,-105.335,127.383,0.000,0.017,-5.268,-1.722,0.000
