time,SW_d,LW_d,T2m,TSKIN,QH,QL,RAIN,BDOT,ALBEDO,TSKIN_degC,T_obs,TSKIN_final
2021-01-01 00:00:00,0.000,227.835,269.547,259.909,98.998,13.160,0.000,0.034,0.626,-13.241,269.840,259.909
2021-01-01 01:00:00,0.000,224.317,269.557,260.668,84.752,12.215,0.000,0.021,0.626,-12.482,269.850,260.668
2021-01-01 02:00:00,0.000,221.855,269.257,261.791,62.313,10.693,0.000,0.008,0.626,-11.359,269.550,261.791
2021-01-01 03:00:00,0.000,219.494,269.457,262.515,36.222,6.684,0.000,0.004,0.626,-10.635,269.750,262.515
2021-01-01 04:00:00,0.000,221.358,269.557,264.961,16.074,4.481,0.000,0.002,0.626,-8.189,269.850,264.961
2021-01-01 05:00:00,0.000,225.786,269.457,265.634,7.685,1.758,0.000,0.011,0.626,-7.516,269.750,265.634
2021-01-01 06:00:00,0.000,212.418,268.657,267.032,2.192,0.329,0.000,0.033,0.626,-6.118,268.950,267.032
2021-01-01 07:00:00,0.000,200.826,268.857,267.696,2.007,-0.601,-0.000,-0.001,0.626,-5.454,269.150,267.696
2021-01-01 08:00:00,0.000,203.207,268.757,268.506,0.977,-3.914,0.000,0.012,0.626,-4.644,269.050,268.506
2021-01-01 09:00:00,0.000,217.801,269.457,269.236,1.101,-6.358,0.000,0.016,0.626,-3.914,269.750,269.236
2021-01-01 10:00:00,0.000,220.384,268.757,269.069,-1.790,-7.350,0.000,0.024,0.626,-4.081,269.050,269.069
2021-01-01 11:00:00,0.000,218.702,268.957,269.137,-1.146,-8.175,0.000,0.022,0.626,-4.013,269.250,269.137
2021-01-01 12:00:00,0.000,219.736,268.957,269.129,-1.086,-8.094,0.000,0.028,0.626,-4.021,269.250,269.129
2021-01-01 13:00:00,556.238,219.754,269.257,267.910,9.087,-2.976,0.000,0.013,0.626,-5.240,269.550,267.910
2021-01-01 14:00:00,541.727,228.801,269.357,266.942,15.318,2.967,0.000,0.005,0.626,-6.208,269.650,266.942
2021-01-01 15:00:00,465.751,222.092,269.657,265.310,31.483,9.271,0.000,0.004,0.626,-7.840,269.950,265.310
2021-01-01 16:00:00,355.789,215.408,269.357,263.766,42.976,9.845,0.000,0.001,0.626,-9.384,269.650,263.766
2021-01-01 17:00:00,245.757,225.123,269.457,262.208,43.328,7.655,0.000,0.000,0.626,-10.942,269.750,262.208
2021-01-01 18:00:00,187.870,210.119,269.557,260.862,47.123,6.943,-0.000,-0.000,0.626,-12.288,269.850,260.862
2021-01-01 19:00:00,117.367,203.157,269.757,259.730,59.842,7.664,0.000,0.000,0.626,-13.419,270.050,259.730
2021-01-01 20:00:00,65.630,204.923,269.157,258.824,68.727,8.803,0.000,0.000,0.626,-14.326,269.450,258.824
2021-01-01 21:00:00,0.000,209.445,269.957,258.194,78.533,10.058,0.000,0.000,0.626,-14.956,270.250,258.194
2021-01-01 22:00:00,0.000,209.481,267.957,258.048,102.078,13.187,0.000,0.000,0.626,-15.102,268.250,258.048
2021-01-01 23:00:00,0.000,204.560,266.557,258.013,87.244,13.071,0.000,0.000,0.626,-15.137,266.850,258.013
2021-01-02 00:00:00,0.000,209.413,268.040,258.352,100.035,13.220,0.000,0.000,0.626,-14.798,268.333,258.352
2021-01-02 01:00:00,0.000,201.805,265.857,259.094,65.105,12.323,0.000,0.000,0.626,-14.056,266.150,259.094
2021-01-02 02:00:00,0.000,199.028,265.257,260.180,42.170,9.605,0.000,0.000,0.626,-12.970,265.550,260.180
2021-01-02 03:00:00,0.000,192.779,263.857,261.498,19.798,3.346,0.000,0.000,0.626,-11.652,264.150,261.498
2021-01-02 04:00:00,0.000,197.662,265.957,262.913,21.235,4.711,0.000,0.000,0.626,-10.237,266.250,262.913
2021-01-02 05:00:00,0.000,189.745,264.357,264.366,-0.048,-7.469,0.000,0.000,0.626,-8.784,264.650,264.366
2021-01-02 06:00:00,0.000,186.839,263.757,265.809,-24.820,-15.495,0.000,0.000,0.626,-7.341,264.050,265.809
2021-01-02 07:00:00,0.000,193.787,266.057,267.144,-10.381,-12.237,0.000,0.000,0.626,-6.006,266.350,267.144
2021-01-02 08:00:00,0.000,189.178,265.757,267.931,-4.420,-2.605,-0.000,-0.000,0.626,-5.219,266.050,267.931
2021-01-02 09:00:00,0.000,192.523,267.057,268.318,-12.576,-12.782,0.000,0.000,0.626,-4.832,267.350,268.318
2021-01-02 10:00:00,0.000,198.745,269.857,268.278,3.496,-1.978,-0.000,-0.000,0.626,-4.872,270.150,268.278
2021-01-02 11:00:00,0.000,205.727,270.957,268.114,11.086,-2.366,-0.000,-0.000,0.626,-5.036,271.250,268.114
2021-01-02 12:00:00,0.000,205.791,270.757,268.022,15.780,0.136,0.000,0.000,0.626,-5.128,271.050,268.022
2021-01-02 13:00:00,572.477,213.175,270.857,267.265,23.062,1.936,0.000,0.000,0.626,-5.885,271.150,267.265
2021-01-02 14:00:00,560.163,205.705,271.657,265.819,31.940,6.168,-0.000,-0.000,0.626,-7.331,271.950,265.819
2021-01-02 15:00:00,481.153,206.878,272.257,264.299,40.711,6.560,-0.000,-0.000,0.626,-8.851,272.550,264.299
2021-01-02 16:00:00,384.601,207.732,272.457,262.847,52.465,7.004,-0.000,-0.000,0.626,-10.303,272.750,262.847
2021-01-02 17:00:00,283.826,211.285,272.157,261.456,58.907,7.558,-0.000,-0.000,0.626,-11.694,272.450,261.456
2021-01-02 18:00:00,191.461,212.533,271.357,260.105,68.775,8.825,0.000,0.000,0.626,-13.045,271.650,260.105
2021-01-02 19:00:00,116.950,213.508,271.257,258.831,99.707,12.796,0.000,0.000,0.626,-14.319,271.550,258.831
2021-01-02 20:00:00,64.932,213.957,270.657,257.855,114.207,14.654,0.000,0.000,0.626,-15.294,270.950,257.855
2021-01-02 21:00:00,23.341,213.216,269.957,257.289,116.414,14.938,0.000,0.000,0.626,-15.861,270.250,257.289
2021-01-02 22:00:00,0.000,208.163,268.557,257.424,123.223,15.801,0.000,0.000,0.626,-15.726,268.850,257.424
2021-01-02 23:00:00,0.000,205.502,268.257,257.338,121.796,15.623,0.000,0.000,0.626,-15.812,268.550,257.338
2021-01-03 00:00:00,0.000,202.426,268.050,257.637,120.608,15.473,0.000,0.000,0.626,-15.513,268.343,257.637
2021-01-03 01:00:00,0.000,193.261,265.657,258.304,95.012,11.075,0.000,0.000,0.626,-14.846,265.950,258.304
2021-01-03 02:00:00,0.000,194.044,266.057,259.373,82.991,4.986,0.000,0.000,0.626,-13.777,266.350,259.373
2021-01-03 03:00:00,0.000,190.955,266.057,260.677,64.658,-3.578,0.000,0.000,0.626,-12.473,266.350,260.677
2021-01-03 04:00:00,0.000,188.498,265.457,262.116,37.473,-11.100,0.000,0.000,0.626,-11.034,265.750,262.116
2021-01-03 05:00:00,0.000,185.432,265.457,263.561,21.310,-14.415,0.000,0.000,0.626,-9.589,265.750,263.561
2021-01-03 06:00:00,0.000,182.608,264.457,264.888,-4.743,-14.117,0.000,0.000,0.626,-8.262,264.750,264.888
2021-01-03 07:00:00,0.000,185.873,265.457,266.044,-6.229,-13.625,0.000,0.000,0.626,-7.106,265.750,266.044
2021-01-03 08:00:00,0.000,188.543,266.657,266.967,-2.765,-11.443,0.000,0.000,0.626,-6.183,266.950,266.967
2021-01-03 09:00:00,0.000,193.341,267.957,267.664,2.022,-8.843,0.000,0.000,0.626,-5.486,268.250,267.664
2021-01-03 10:00:00,0.000,192.628,268.757,268.135,2.974,-6.122,0.000,0.000,0.626,-5.015,269.050,268.135
